,palavra,frequencia,sentimento
4064,obrigaram,1,negativo
4065,bancaria,2,negativo
4066,tira,4,negativo
4067,custava,1,negativo
4068,mandarao,1,negativo
4069,resumindo,6,negativo
4070,safados,1,negativo
4071,mdf,6,negativo
4072,enviados,7,negativo
4073,talvez,8,negativo
4074,economizar,1,negativo
4075,jogar,4,negativo
4076,indisponibilidade,5,negativo
4077,listagem,1,negativo
4078,ventosa,1,negativo
4079,encosto,11,negativo
4080,disponibiliza,6,negativo
4081,consulta,2,negativo
4082,arquivos,1,negativo
4083,blackoute,1,negativo
4084,agradou,4,negativo
4085,perfuracao,1,negativo
4086,mm,3,negativo
4087,redor,2,negativo
4088,transportadoras,1,negativo
4089,eventualmente,1,negativo
4090,retira,4,negativo
4091,noticia,8,negativo
4092,forno,2,negativo
4093,master,1,negativo
4094,standard,1,negativo
4095,acompanha,8,negativo
4096,atualiazacao,1,negativo
4097,evento,1,negativo
4098,contando,6,negativo
4099,escorrega,2,negativo
4100,mexe,1,negativo
4101,originais,14,negativo
4102,instala,3,negativo
4103,recusou,2,negativo
4104,recarregados,1,negativo
4105,parecendo,11,negativo
4106,usada,4,negativo
4107,sindico,1,negativo
4108,condominio,5,negativo
4109,ultimas,4,negativo
4110,prioridade,1,negativo
4111,ajudou,1,negativo
4112,selecionei,3,negativo
4113,cafe,4,negativo
4114,banana,1,negativo
4115,roupinha,3,negativo
4116,ballet,1,negativo
4117,sapatinhos,3,negativo
4118,camisetinha,1,negativo
4119,calca,2,negativo
4120,unicornios,1,negativo
4121,riachuelo,1,negativo
4122,peguei,3,negativo
4123,amais,1,negativo
4124,liberar,1,negativo
4125,distribuicao,6,negativo
4126,debitada,1,negativo
4127,indicacao,5,negativo
4128,informao,1,negativo
4129,mmotivo,1,negativo
4130,escolhida,1,negativo
4131,desepisionado,1,negativo
4132,funcionaram,1,negativo
4133,quinta,3,negativo
4134,tarjeta,1,negativo
4135,desintegrou,1,negativo
4136,mao,14,negativo
4137,vencimento,5,negativo
4138,touca,4,negativo
4139,furo,4,negativo
4140,poderei,5,negativo
4141,elevacao,1,negativo
4142,acento,3,negativo
4143,rpgrupo,1,negativo
4144,prometeu,1,negativo
4145,termina,1,negativo
4146,registrando,1,negativo
4147,pendencia,2,negativo
4148,tcl,1,negativo
4149,sky,1,negativo
4150,turquesa,1,negativo
4151,rustico,1,negativo
4152,tacas,5,negativo
4153,mexicana,2,negativo
4154,comecara,1,negativo
4155,trabalhar,8,negativo
4156,ridicula,5,negativo
4157,oferece,7,negativo
4158,compartimentos,1,negativo
4159,compartimento,1,negativo
4160,encaminharem,1,negativo
4161,doos,1,negativo
4162,canais,3,negativo
4163,eletronico,7,negativo
4164,tel,4,negativo
4165,robo,3,negativo
4166,linha,10,negativo
4167,instante,1,negativo
4168,moedor,2,negativo
4169,cono,1,negativo
4170,carta,5,negativo
4171,pver,1,negativo
4172,borboletas,2,negativo
4173,mudariam,1,negativo
4174,desrespeitoso,1,negativo
4175,resolvermos,1,negativo
4176,minimizar,1,negativo
4177,picaretagem,2,negativo
4178,natural,2,negativo
4179,conservantes,1,negativo
4180,corantes,1,negativo
4181,menta,1,negativo
4182,conservante,1,negativo
4183,informava,1,negativo
4184,atendem,8,negativo
4185,cara,11,negativo
4186,negoci,1,negativo
4187,minima,2,negativo
4188,ng,1,negativo
4189,recebesse,2,negativo
4190,encomend,1,negativo
4191,comentario,5,negativo
4192,negativo,6,negativo
4193,postam,1,negativo
4194,dorto,1,negativo
4195,dianteiro,1,negativo
4196,traseiro,2,negativo
4197,experiencias,1,negativo
4198,terriveis,1,negativo
4199,polaroide,1,negativo
4200,fraquinho,1,negativo
4201,estpu,1,negativo
4202,terminou,2,negativo
4203,produz,1,negativo
4204,revomendo,1,negativo
4205,ventiladores,2,negativo
4206,ajudante,1,negativo
4207,corrresponde,1,negativo
4208,responsabilizando,1,negativo
4209,lixeira,6,negativo
4210,churrasqueira,5,negativo
4211,hoge,1,negativo
4212,tomassem,1,negativo
4213,denegrir,1,negativo
4214,ameri,1,negativo
4215,arredo,1,negativo
4216,anunciam,6,negativo
4217,tamanha,4,negativo
4218,lojistas,1,negativo
4219,debito,2,negativo
4220,efetivado,3,negativo
4221,objetos,3,negativo
4222,comodidade,4,negativo
4223,todavia,1,negativo
4224,vamos,8,negativo
4225,terceiros,5,negativo
4226,posse,1,negativo
4227,larga,1,negativo
4228,levanta,1,negativo
4229,desepcionado,1,negativo
4230,eeperava,1,negativo
4231,balanco,1,negativo
4232,xicaras,2,negativo
4233,saquinho,4,negativo
4234,imprimir,4,negativo
4235,arrasada,1,negativo
4236,enrolador,1,negativo
4237,automatico,3,negativo
4238,fixo,1,negativo
4239,contatar,5,negativo
4240,insistir,1,negativo
4241,doque,1,negativo
4242,telefonou,1,negativo
4243,mandao,1,negativo
4244,saite,3,negativo
4245,paradeiro,1,negativo
4246,correspondeu,7,negativo
4247,sling,5,negativo
4248,macio,2,negativo
4249,maleavel,1,negativo
4250,antena,2,negativo
4251,dbi,1,negativo
4252,rrecebi,1,negativo
4253,cofre,1,negativo
4254,chamou,1,negativo
4255,emcasa,1,negativo
4256,quite,2,negativo
4257,refeberam,1,negativo
4258,nad,4,negativo
4259,litros,8,negativo
4260,pen,3,negativo
4261,drive,4,negativo
4262,grava,2,negativo
4263,video,5,negativo
4264,gravando,1,negativo
4265,real,6,negativo
4266,anilhas,1,negativo
4267,recebero,2,negativo
4268,plasticas,2,negativo
4269,corte,4,negativo
4270,tapando,1,negativo
4271,flash,2,negativo
4272,extensao,3,negativo
4273,paraguai,3,negativo
4274,seda,1,negativo
4275,confeccao,2,negativo
4276,categoria,3,negativo
4277,soltas,3,negativo
4278,esgacadas,1,negativo
4279,assistida,2,negativo
4280,transmissao,1,negativo
4281,incio,1,negativo
4282,suplemento,2,negativo
4283,inumeras,4,negativo
4284,classificar,2,negativo
4285,reclamando,9,negativo
4286,bela,2,negativo
4287,tantos,1,negativo
4288,inrresponsabiliade,1,negativo
4289,ocasionou,3,negativo
4290,referencia,2,negativo
4291,naorecomendo,1,negativo
4292,empenas,1,negativo
4293,responsabilizou,1,negativo
4294,cactineas,1,negativo
4295,canela,3,negativo
4296,velh,1,negativo
4297,dificulta,2,negativo
4298,roxo,3,negativo
4299,escolha,3,negativo
4300,mostrar,1,negativo
4301,ressarcido,8,negativo
4302,intencao,1,negativo
4303,viajar,2,negativo
4304,viagei,1,negativo
4305,retornei,3,negativo
4306,chateou,2,negativo
4307,lancheira,8,negativo
4308,gostou,2,negativo
4309,marido,3,negativo
4310,cyro,1,negativo
4311,braga,1,negativo
4312,polishop,1,negativo
4313,hemo,3,negativo
4314,rage,3,negativo
4315,lula,1,negativo
4316,molusco,1,negativo
4317,rochas,1,negativo
4318,oprotetor,1,negativo
4319,escapamento,1,negativo
4320,localizacao,2,negativo
4321,exata,1,negativo
4322,comprovando,2,negativo
4323,piada,2,negativo
4324,desatualizado,2,negativo
4325,botox,3,negativo
4326,hidratacao,5,negativo
4327,mechido,1,negativo
4328,tiraram,2,negativo
4329,contidade,1,negativo
4330,dereita,1,negativo
4331,retida,1,negativo
4332,completando,2,negativo
4333,descumprimento,2,negativo
4334,alimenticio,1,negativo
4335,nap,3,negativo
4336,prodito,2,negativo
4337,franja,1,negativo
4338,molhada,3,negativo
4339,procurei,3,negativo
4340,desaparusada,1,negativo
4341,aparafusados,1,negativo
4342,estabelecido,6,negativo
4343,rastrea,2,negativo
4344,cosias,1,negativo
4345,aproximadamente,2,negativo
4346,fujam,2,negativo
4347,formando,1,negativo
4348,saberia,2,negativo
4349,historia,2,negativo
4350,relojeiro,1,negativo
4351,profissional,6,negativo
4352,afirmou,1,negativo
4353,tranquilidade,1,negativo
4354,cavalinho,1,negativo
4355,urso,4,negativo
4356,bercinho,1,negativo
4357,dividida,3,negativo
4358,ameicanas,1,negativo
4359,feedback,7,negativo
4360,grama,3,negativo
4361,desfiada,1,negativo
4362,soltando,9,negativo
4363,fibras,1,negativo
4364,ligo,6,negativo
4365,atravez,1,negativo
4366,medicamento,3,negativo
4367,acessorio,1,negativo
4368,districao,1,negativo
4369,falto,4,negativo
4370,magnetico,2,negativo
4371,xas,1,negativo
4372,sirene,1,negativo
4373,alarme,3,negativo
4374,vaza,3,negativo
4375,cozimento,2,negativo
4376,xbox,4,negativo
4377,amortecedor,1,negativo
4378,felizmente,2,negativo
4379,sofreu,1,negativo
4380,camisas,3,negativo
4381,recebidas,1,negativo
4382,devolvidas,1,negativo
4383,maquinetada,1,negativo
4384,continuou,2,negativo
4385,nenem,3,negativo
4386,toma,1,negativo
4387,grana,1,negativo
4388,desfecho,1,negativo
4389,sinplesmente,1,negativo
4390,atualizaram,2,negativo
4391,toa,3,negativo
4392,dormir,2,negativo
4393,infantis,1,negativo
4394,liquidificador,1,negativo
4395,walesa,1,negativo
4396,ri,1,negativo
4397,cactinea,1,negativo
4398,acompanhou,3,negativo
4399,barata,6,negativo
4400,ficara,2,negativo
4401,alertou,1,negativo
4402,bilhete,2,negativo
4403,descricoes,5,negativo
4404,contidas,1,negativo
4405,balao,2,negativo
4406,soco,2,negativo
4407,inadmissivel,2,negativo
4408,quebrar,2,negativo
4409,repente,1,negativo
4410,procuro,2,negativo
4411,coberdron,2,negativo
4412,authentic,1,negativo
4413,games,2,negativo
4414,escilha,1,negativo
4415,fazia,5,negativo
4416,soltar,3,negativo
4417,ilustrada,1,negativo
4418,http,2,negativo
4419,prntscr,2,negativo
4420,listados,2,negativo
4421,necessarie,2,negativo
4422,comunicada,2,negativo
4423,cf,1,negativo
4424,acarretou,1,negativo
4425,incomodo,2,negativo
4426,excedeu,2,negativo
4427,j,1,negativo
4428,resposderam,1,negativo
4429,dt,1,negativo
4430,marica,1,negativo
4431,aonde,13,negativo
4432,argumentou,1,negativo
4433,garantiu,2,negativo
4434,faltarram,1,negativo
4435,fatos,2,negativo
4436,bau,1,negativo
4437,incidente,1,negativo
4438,falava,6,negativo
4439,listasse,1,negativo
4440,bocal,1,negativo
4441,desfiados,1,negativo
4442,envolta,1,negativo
4443,inmetro,3,negativo
4444,bonecos,6,negativo
4445,correcao,2,negativo
4446,cooler,1,negativo
4447,purificador,1,negativo
4448,incorretos,1,negativo
4449,aste,1,negativo
4450,pesquisar,3,negativo
4451,justo,3,negativo
4452,carros,3,negativo
4453,gravissimo,2,negativo
4454,garantias,1,negativo
4455,recabi,1,negativo
4456,deficiencia,1,negativo
4457,oieee,1,negativo
4458,taca,3,negativo
4459,sobremesa,1,negativo
4460,adiantado,1,negativo
4461,sobrinho,4,negativo
4462,entreou,1,negativo
4463,acuso,1,negativo
4464,cortar,6,negativo
4465,rwcebi,1,negativo
4466,peoduto,3,negativo
4467,regularizacao,3,negativo
4468,lonas,2,negativo
4469,esteiras,2,negativo
4470,lx,1,negativo
4471,movement,1,negativo
4472,faturados,4,negativo
4473,quiser,4,negativo
4474,entregador,9,negativo
4475,conferencia,4,negativo
4476,halteres,1,negativo
4477,insatisfacao,14,negativo
4478,estouno,1,negativo
4479,telefones,5,negativo
4480,referidos,1,negativo
4481,abuso,1,negativo
4482,mudem,1,negativo
4483,muuuuuuuito,1,negativo
4484,avaliarei,2,negativo
4485,lol,2,negativo
4486,luminoso,2,negativo
4487,aplicacao,1,negativo
4488,remedios,3,negativo
4489,insulina,1,negativo
4490,vainia,1,negativo
4491,lucia,1,negativo
4492,detal,1,negativo
4493,talheres,1,negativo
4494,ctt,2,negativo
4495,agurdo,1,negativo
4496,despacho,3,negativo
4497,individualmente,1,negativo
4498,respondida,7,negativo
4499,qto,4,negativo
4500,irresponsabilidade,3,negativo
4501,perde,2,negativo
4502,aceitar,1,negativo
4503,inidoneas,1,negativo
4504,componentes,7,negativo
4505,escolhe,1,negativo
4506,prace,1,negativo
4507,valida,1,negativo
4508,pagaria,2,negativo
4509,magenta,4,negativo
4510,ciano,5,negativo
4511,fornecedores,7,negativo
4512,tonerbras,2,negativo
4513,magentas,2,negativo
4514,mikrotik,1,negativo
4515,routerboard,1,negativo
4516,fuciona,3,negativo
4517,ilustrad,1,negativo
4518,avia,3,negativo
4519,identica,2,negativo
4520,adc,1,negativo
4521,juntaram,1,negativo
4522,retornar,11,negativo
4523,hoj,1,negativo
4524,dada,10,negativo
4525,deviam,2,negativo
4526,semanalmente,1,negativo
4527,quinzenalmente,1,negativo
4528,tablete,1,negativo
4529,manicure,1,negativo
4530,confiei,7,negativo
4531,onlaine,1,negativo
4532,bloqueado,4,negativo
4533,responsavelpela,1,negativo
4534,frustrante,2,negativo
4535,nov,1,negativo
4536,sait,6,negativo
4537,confiava,1,negativo
4538,entende,1,negativo
4539,fonoaudiologa,1,negativo
4540,prece,1,negativo
4541,prestam,3,negativo
4542,vedd,1,negativo
4543,embarque,2,negativo
4544,enesio,1,negativo
4545,horriveis,4,negativo
4546,lembrava,1,negativo
4547,cel,2,negativo
4548,estourada,3,negativo
4549,tirou,1,negativo
4550,revisadas,1,negativo
4551,teclas,3,negativo
4552,bailarinas,1,negativo
4553,acredita,1,negativo
4554,motivos,4,negativo
4555,pessoais,1,negativo
4556,diariamente,1,negativo
4557,vindo,15,negativo
4558,social,1,negativo
4559,aff,4,negativo
4560,zoom,2,negativo
4561,golden,2,negativo
4562,messes,1,negativo
4563,profundamente,3,negativo
4564,cod,9,negativo
4565,eletromassa,1,negativo
4566,enttega,2,negativo
4567,sobrenome,1,negativo
4568,identificacao,4,negativo
4569,entregaria,5,negativo
4570,cristiane,1,negativo
4571,verificarem,1,negativo
4572,pessiama,1,negativo
4573,ultraoassado,1,negativo
4574,requerido,1,negativo
4575,estreito,2,negativo
4576,hds,3,negativo
4577,externos,2,negativo
4578,largo,2,negativo
4579,servir,1,negativo
4580,geral,7,negativo
4581,mandamei,1,negativo
4582,penas,1,negativo
4583,assinatura,4,negativo
4584,comprp,1,negativo
4585,pioro,1,negativo
4586,assessorio,1,negativo
4587,gerou,3,negativo
4588,estresse,1,negativo
4589,gosta,1,negativo
4590,perna,2,negativo
4591,marmitas,1,negativo
4592,gui,2,negativo
4593,coqueteleira,3,negativo
4594,frida,1,negativo
4595,justificar,5,negativo
4596,blend,2,negativo
4597,onem,1,negativo
4598,vira,3,negativo
4599,xl,13,negativo
4600,sorocaba,1,negativo
4601,npta,1,negativo
4602,fiacal,1,negativo
4603,escrevi,4,negativo
4604,swndo,1,negativo
4605,encaminhamento,1,negativo
4606,baixado,1,negativo
4607,giratoria,3,negativo
4608,supre,1,negativo
4609,postura,1,negativo
4610,ressarsida,1,negativo
4611,rebarbas,3,negativo
4612,helice,1,negativo
4613,acidente,3,negativo
4614,manusear,3,negativo
4615,aquisicao,5,negativo
4616,aviao,3,negativo
4617,royal,1,negativo
4618,lacrado,3,negativo
4619,kg,4,negativo
4620,reevie,1,negativo
4621,canivete,3,negativo
4622,positron,1,negativo
4623,desmontaram,1,negativo
4624,ralada,1,negativo
4625,empoeirada,2,negativo
4626,desistir,5,negativo
4627,procuraram,2,negativo
4628,doia,1,negativo
4629,finalmente,1,negativo
4630,respondido,10,negativo
4631,devilvido,1,negativo
4632,prezado,2,negativo
4633,senhor,1,negativo
4634,eloi,1,negativo
4635,ganchinhos,2,negativo
4636,detonada,1,negativo
4637,rasgadas,2,negativo
4638,comprova,1,negativo
4639,receboo,1,negativo
4640,pfv,1,negativo
4641,receibimento,1,negativo
4642,fqyei,1,negativo
4643,barulho,5,negativo
4644,enviaran,1,negativo
4645,alssandro,1,negativo
4646,esqueca,1,negativo
4647,existo,1,negativo
4648,boletim,1,negativo
4649,ocorrencias,1,negativo
4650,juntas,5,negativo
4651,semelhantes,1,negativo
4652,obtem,1,negativo
4653,esntregou,1,negativo
4654,perfeitas,2,negativo
4655,lata,1,negativo
4656,brinquedo,14,negativo
4657,importa,1,negativo
4658,asperas,1,negativo
4659,fininhas,1,negativo
4660,contratar,3,negativo
4661,complicado,5,negativo
4662,caimos,1,negativo
4663,caos,1,negativo
4664,substancial,1,negativo
4665,ressarcida,4,negativo
4666,incrivel,1,negativo
4667,pareca,2,negativo
4668,soltado,2,negativo
4669,evolucao,2,negativo
4670,recebil,1,negativo
4671,minhanfatura,1,negativo
4672,avri,1,negativo
4673,lavagem,2,negativo
4674,gera,4,negativo
4675,grelhas,1,negativo
4676,peixe,1,negativo
4677,esteto,1,negativo
4678,estojo,5,negativo
4679,tvolkswagen,1,negativo
4680,voyage,2,negativo
4681,detectou,2,negativo
4682,remanufaturados,1,negativo
4683,vesz,1,negativo
4684,cumprem,7,negativo
4685,certidao,1,negativo
4686,nascimento,1,negativo
4687,fralda,2,negativo
4688,noa,2,negativo
4689,esra,1,negativo
4690,mexer,2,negativo
4691,instrucoesnao,1,negativo
4692,ilustrado,3,negativo
4693,induzindo,1,negativo
4694,finaliza,1,negativo
4695,continuidade,2,negativo
4696,entrando,9,negativo
4697,grosso,4,negativo
4698,vitrine,1,negativo
4699,importados,1,negativo
4700,terceirizar,2,negativo
4701,direta,2,negativo
4702,comercializacao,1,negativo
4703,profundo,1,negativo
4704,encache,1,negativo
4705,balancando,2,negativo
4706,cair,2,negativo
4707,bolo,3,negativo
4708,firmeza,3,negativo
4709,hydra,2,negativo
4710,vedacao,4,negativo
4711,pincas,3,negativo
4712,dese,2,negativo
4713,avista,1,negativo
4714,fechada,2,negativo
4715,visivel,2,negativo
4716,retonro,1,negativo
4717,suzana,1,negativo
4718,costa,2,negativo
4719,organizado,1,negativo
4720,pessoalmente,4,negativo
4721,publicidade,3,negativo
4722,entro,10,negativo
4723,atrazo,3,negativo
4724,rebarba,1,negativo
4725,carissimo,3,negativo
4726,fantasia,2,negativo
4727,pop,3,negativo
4728,curta,2,negativo
4729,efeito,8,negativo
4730,converso,1,negativo
4731,usaram,2,negativo
4732,gostaram,1,negativo
4733,dava,9,negativo
4734,tradicionalmente,1,negativo
4735,comercializado,2,negativo
4736,veol,1,negativo
4737,entree,1,negativo
4738,nelma,1,negativo
4739,terceirizaram,1,negativo
4740,confusa,1,negativo
4741,certificar,1,negativo
4742,fabricado,1,negativo
4743,causando,4,negativo
4744,ocorer,1,negativo
4745,alice,2,negativo
4746,bretanha,1,negativo
4747,dimais,1,negativo
4748,empacotamento,2,negativo
4749,fabricacao,8,negativo
4750,storecadeiras,1,negativo
4751,combo,4,negativo
4752,parciais,1,negativo
4753,amamentacao,1,negativo
4754,margarida,2,negativo
4755,poltronas,2,negativo
4756,policial,1,negativo
4757,civil,1,negativo
4758,investigar,1,negativo
4759,filma,1,negativo
4760,yoga,1,negativo
4761,pratica,3,negativo
4762,dignos,1,negativo
4763,consumidores,2,negativo
4764,zangado,1,negativo
4765,regador,1,negativo
4766,alavanca,1,negativo
4767,mandamos,2,negativo
4768,obtivemos,4,negativo
4769,lote,6,negativo
4770,preocupado,6,negativo
4771,colocarem,2,negativo
4772,mole,7,negativo
4773,centavo,1,negativo
4774,riscadas,2,negativo
4775,polos,1,negativo
4776,corroida,1,negativo
4777,acido,1,negativo
4778,aparencia,11,negativo
4779,transformador,4,negativo
4780,digitado,1,negativo
4781,define,1,negativo
4782,educada,1,negativo
4783,deslocar,3,negativo
4784,desconfianca,1,negativo
4785,receberia,3,negativo
4786,referiu,1,negativo
4787,claras,3,negativo
4788,termostato,2,negativo
4789,aquecedor,1,negativo
4790,instrucao,5,negativo
4791,leigo,1,negativo
4792,orificios,1,negativo
4793,enfeitar,1,negativo
4794,buchinhos,2,negativo
4795,confundi,1,negativo
4796,prime,6,negativo
4797,consequentemente,2,negativo
4798,trocado,14,negativo
4799,nenhun,1,negativo
4800,util,4,negativo
4801,informassem,2,negativo
4802,protocolos,5,negativo
4803,abertos,2,negativo
4804,chapa,1,negativo
4805,higienizar,1,negativo
4806,aquecer,1,negativo
4807,carnes,1,negativo
4808,assai,1,negativo
4809,contados,1,negativo
4810,sobrinha,4,negativo
4811,papai,3,negativo
4812,noel,3,negativo
4813,tubarao,1,negativo
4814,home,2,negativo
4815,theater,2,negativo
4816,vencido,7,negativo
4817,apertar,3,negativo
4818,metalica,2,negativo
4819,abajur,3,negativo
4820,virada,1,negativo
4821,orig,1,negativo
4822,parou,13,negativo
4823,reposta,3,negativo
4824,remold,3,negativo
4825,trade,1,negativo
4826,proximo,6,negativo
4827,devera,1,negativo
4828,fizemos,3,negativo
4829,decpsionei,1,negativo
4830,alegado,1,negativo
4831,estav,2,negativo
4832,unodades,1,negativo
4833,descosturado,1,negativo
4834,escovas,3,negativo
4835,coloridas,2,negativo
4836,pentear,1,negativo
4837,fixao,1,negativo
4838,enferrujados,1,negativo
4839,amazon,2,negativo
4840,existia,3,negativo
4841,suportes,8,negativo
4842,transbike,1,negativo
4843,bicicletas,2,negativo
4844,bicicleta,5,negativo
4845,atrio,1,negativo
4846,saca,2,negativo
4847,rolha,1,negativo
4848,cancelam,3,negativo
4849,presenteamos,1,negativo
4850,esteira,5,negativo
4851,especifica,5,negativo
4852,distruidora,1,negativo
4853,juiz,1,negativo
4854,polo,1,negativo
4855,recebinada,1,negativo
4856,recomentaria,1,negativo
4857,horrores,2,negativo
4858,reagendando,1,negativo
4859,cai,8,negativo
4860,pronta,2,negativo
4861,honra,1,negativo
4862,pagado,1,negativo
4863,casinha,2,negativo
4864,neve,1,negativo
4865,princesa,1,negativo
4866,encachava,1,negativo
4867,divergencia,3,negativo
4868,pravisao,1,negativo
4869,viesse,2,negativo
4870,acompanhado,3,negativo
4871,estalava,1,negativo
4872,cedo,2,negativo
4873,bizarro,1,negativo
4874,interior,2,negativo
4875,regra,1,negativo
4876,tonner,7,negativo
4877,insastifeito,2,negativo
4878,latao,1,negativo
4879,reciclado,3,negativo
4880,corpo,4,negativo
4881,rachado,4,negativo
4882,atracao,1,negativo
4883,magnetica,1,negativo
4884,livraria,2,negativo
4885,notificado,4,negativo
4886,marron,2,negativo
4887,grafite,1,negativo
4888,isopor,2,negativo
4889,lixeiras,2,negativo
4890,combinada,2,negativo
4891,nice,1,negativo
4892,tirei,4,negativo
4893,interlocutores,1,negativo
4894,ajude,3,negativo
4895,contratempos,2,negativo
4896,chateacoes,1,negativo
4897,amerinas,1,negativo
4898,promeblas,1,negativo
4899,talves,1,negativo
4900,sorte,4,negativo
4901,descriminado,1,negativo
4902,pret,1,negativo
4903,parecem,2,negativo
4904,lanternas,2,negativo
4905,soprador,1,negativo
4906,alongamento,1,negativo
4907,cilios,1,negativo
4908,recebidos,2,negativo
4909,ambos,5,negativo
4910,avessas,1,negativo
4911,vta,1,negativo
4912,atuais,1,negativo
4913,assinar,1,negativo
4914,usao,1,negativo
4915,felpudo,1,negativo
4916,enttaga,1,negativo
4917,sinonimo,1,negativo
4918,aborrecimento,1,negativo
4919,deskjet,4,negativo
4920,ink,1,negativo
4921,advantage,1,negativo
4922,imprime,2,negativo
4923,bloqueia,1,negativo
4924,fritadeira,3,negativo
4925,eletrica,8,negativo
4926,minuscula,1,negativo
4927,phaser,1,negativo
4928,leu,1,negativo
4929,edredon,1,negativo
4930,proteger,2,negativo
4931,xixi,1,negativo
4932,absorvido,1,negativo
4933,atingiu,4,negativo
4934,querendo,5,negativo
4935,manchinha,1,negativo
4936,inces,1,negativo
4937,agira,1,negativo
4938,tomarei,7,negativo
4939,encomendado,4,negativo
4940,pr,3,negativo
4941,embalar,2,negativo
4942,madarm,1,negativo
4943,nato,2,negativo
4944,entortou,2,negativo
4945,faixa,6,negativo
4946,instale,1,negativo
4947,bota,1,negativo
4948,funcao,3,negativo
4949,aperta,1,negativo
4950,direita,3,negativo
4951,apaga,3,negativo
4952,ingles,5,negativo
4953,chines,9,negativo
4954,mobile,2,negativo
4955,kindred,1,negativo
4956,cacadores,1,negativo
4957,eternos,1,negativo
4958,league,1,negativo
4959,of,1,negativo
4960,legends,1,negativo
4961,azu,1,negativo
4962,desorganizado,1,negativo
4963,fizessem,1,negativo
4964,vencedor,1,negativo
4965,redmi,7,negativo
4966,note,11,negativo
4967,incompativel,7,negativo
4968,indignacao,1,negativo
4969,mia,1,negativo
4970,absolutamente,1,negativo
4971,fortes,2,negativo
4972,indicios,1,negativo
4973,proposital,2,negativo
4974,televendas,1,negativo
4975,expressivos,1,negativo
4976,amarradas,1,negativo
4977,barbante,2,negativo
4978,individuais,3,negativo
4979,organza,1,negativo
4980,borrachinhas,1,negativo
4981,prestes,2,negativo
4982,ganhar,1,negativo
4983,parto,1,negativo
4984,pea,1,negativo
4985,atebtende,1,negativo
4986,bobo,1,negativo
4987,nokia,1,negativo
4988,chip,3,negativo
4989,qquer,1,negativo
4990,horivel,1,negativo
4991,atente,1,negativo
4992,incorreto,13,negativo
4993,estornado,7,negativo
4994,compei,1,negativo
4995,fervereiro,1,negativo
4996,cobranca,8,negativo
4997,duplicado,1,negativo
4998,estragada,3,negativo
4999,desencaixados,1,negativo
5000,frontal,2,negativo
5001,bag,2,negativo
5002,visualizacao,3,negativo
5003,segurando,1,negativo
5004,pasmado,1,negativo
5005,aborrecido,3,negativo
5006,verifiquem,6,negativo
5007,convincente,1,negativo
5008,descrevi,1,negativo
5009,iclusive,1,negativo
5010,descontadas,1,negativo
5011,parcejas,1,negativo
5012,devolvam,3,negativo
5013,cancelem,1,negativo
5014,definitivamente,1,negativo
5015,cobrados,2,negativo
5016,existente,1,negativo
5017,estourar,1,negativo
5018,ultrabook,2,negativo
5019,mamadeiras,3,negativo
5020,questionando,4,negativo
5021,premium,3,negativo
5022,elite,1,negativo
5023,glue,1,negativo
5024,idignada,1,negativo
5025,ponteiro,2,negativo
5026,ep,1,negativo
5027,hv,1,negativo
5028,irresponsaveis,2,negativo
5029,acredibilidade,1,negativo
5030,cosmetico,1,negativo
5031,tonners,2,negativo
5032,tiramos,1,negativo
5033,recei,1,negativo
5034,promocional,3,negativo
5035,riscados,2,negativo
5036,carcaca,2,negativo
5037,visor,2,negativo
5038,beleza,3,negativo
5039,lugares,4,negativo
5040,mercaduria,1,negativo
5041,fue,1,negativo
5042,recibida,1,negativo
5043,ligan,1,negativo
5044,colocan,1,negativo
5045,confunde,1,negativo
5046,vazado,2,negativo
5047,ese,1,negativo
5048,devolvesse,1,negativo
5049,aparecendo,1,negativo
5050,polegadas,1,negativo
5051,rms,1,negativo
5052,qvs,1,negativo
5053,calcas,2,negativo
5054,contas,3,negativo
5055,explico,1,negativo
5056,descontando,1,negativo
5057,ligando,5,negativo
5058,moreira,1,negativo
5059,on,5,negativo
5060,line,5,negativo
5061,explicou,1,negativo
5062,lipo,1,negativo
5063,ultra,2,negativo
5064,concentrado,1,negativo
5065,versao,5,negativo
5066,caps,1,negativo
5067,infomacao,1,negativo
5068,pega,8,negativo
5069,whatsapp,1,negativo
5070,qero,1,negativo
5071,exposicao,3,negativo
5072,remete,1,negativo
5073,recebida,5,negativo
5074,justifica,1,negativo
5075,respondi,3,negativo
5076,vitoria,1,negativo
5077,requinte,1,negativo
5078,percal,2,negativo
5079,fios,8,negativo
5080,mandaria,2,negativo
5081,ibitinga,2,negativo
5082,decora,2,negativo
5083,alicates,1,negativo
5084,alicate,3,negativo
5085,noie,1,negativo
5086,moringa,3,negativo
5087,farmacia,1,negativo
5088,manipulacao,1,negativo
5089,criei,1,negativo
5090,venia,1,negativo
5091,acabendo,1,negativo
5092,entrem,2,negativo
5093,faca,7,negativo
5094,justificaria,1,negativo
5095,entregara,2,negativo
5096,vendo,2,negativo
5097,coreeios,1,negativo
5098,carai,1,negativo
5099,feedbeck,1,negativo
5100,discricao,5,negativo
5101,fratura,1,negativo
5102,reckamacao,1,negativo
5103,pondo,1,negativo
5104,conhecida,2,negativo
5105,cheg,1,negativo
5106,cyan,2,negativo
5107,ocorreria,1,negativo
5108,televisoes,1,negativo
5109,encardida,3,negativo
5110,forca,1,negativo
5111,justificativas,1,negativo
