,palavra,frequencia,sentimento
267,entregar,162,negativo
268,estarei,9,negativo
269,procurando,4,negativo
270,direitos,20,negativo
271,contra,11,negativo
272,lojas,144,negativo
273,pessima,219,negativo
274,comprados,30,negativo
275,parceiro,64,negativo
276,jamais,11,negativo
277,novamente,35,negativo
278,dessa,79,negativo
279,empresa,279,negativo
280,saio,1,negativo
281,correndo,3,negativo
282,absurdo,101,negativo
283,extra,1,negativo
284,ok,35,negativo
285,fizeram,15,negativo
286,player,5,negativo
287,trocando,3,negativo
288,pilha,8,negativo
289,diversas,13,negativo
290,vezes,90,negativo
291,confianca,16,negativo
292,entregou,126,negativo
293,colocou,4,negativo
294,falsa,4,negativo
295,quero,519,negativo
296,receber,325,negativo
297,pagos,5,negativo
298,boleto,20,negativo
299,bancari,1,negativo
300,instalei,5,negativo
301,cartucho,112,negativo
302,tinta,45,negativo
303,impressora,52,negativo
304,indicou,3,negativo
305,vazio,6,negativo
306,apresentou,11,negativo
307,mensagem,61,negativo
308,erro,43,negativo
309,cima,31,negativo
310,marcador,2,negativo
311,nivel,4,negativo
312,solicitei,167,negativo
313,troca,280,negativo
314,capas,22,negativo
315,couro,16,negativo
316,compradas,18,negativo
317,aguardo,316,negativo
318,devolucao,283,negativo
319,dinheiro,315,negativo
320,segunda,64,negativo
321,maio,7,negativo
322,usei,17,negativo
323,alca,6,negativo
324,quebrou,11,negativo
325,peso,12,negativo
326,preta,49,negativo
327,vermelha,25,negativo
328,pensei,20,negativo
329,mochila,43,negativo
330,resistente,6,negativo
331,msg,11,negativo
332,informando,40,negativo
333,obtive,112,negativo
334,obrigado,31,negativo
335,muita,76,negativo
336,unidade,111,negativo
337,inves,28,negativo
338,sim,51,negativo
339,encaixes,4,negativo
340,igual,46,negativo
341,fecham,3,negativo
342,aparelho,54,negativo
343,questao,19,negativo
344,saude,5,negativo
345,portanto,27,negativo
346,chegara,3,negativo
347,prevista,39,negativo
348,difere,4,negativo
349,trata,29,negativo
350,solucionado,5,negativo
351,problema,310,negativo
352,satisfeito,15,negativo
353,procedimento,11,negativo
354,paguei,345,negativo
355,metade,57,negativo
356,anunciaram,4,negativo
357,coisa,50,negativo
358,mandaram,112,negativo
359,outra,218,negativo
360,inicio,11,negativo
361,abrindo,7,negativo
362,protocolo,13,negativo
363,resolverem,5,negativo
364,situacao,43,negativo
365,assim,134,negativo
366,contato,467,negativo
367,parte,101,negativo
368,vendedor,137,negativo
369,ratrear,1,negativo
370,conseguindo,22,negativo
371,conforme,121,negativo
372,pos,14,negativo
373,venda,71,negativo
374,respondeu,25,negativo
375,perguntas,2,negativo
376,mochilas,6,negativo
377,natal,44,negativo
378,chegando,8,negativo
379,presente,184,negativo
380,enviei,90,negativo
381,mensagens,19,negativo
382,conversa,1,negativo
383,chegaria,14,negativo
384,ontem,34,negativo
385,pinceis,15,negativo
386,vieram,109,negativo
387,amassados,6,negativo
388,condiz,26,negativo
389,algumas,18,negativo
390,fotos,28,negativo
391,descricao,90,negativo
392,fracos,3,negativo
393,cabem,2,negativo
394,case,15,negativo
395,descolado,1,negativo
396,q,309,negativo
397,mostra,31,negativo
398,luxo,2,negativo
399,acolchoado,1,negativo
400,dizia,31,negativo
401,parece,112,negativo
402,mantem,5,negativo
403,alimento,1,negativo
404,murchar,1,negativo
405,batata,1,negativo
406,palha,4,negativo
407,tampa,37,negativo
408,estranha,6,negativo
409,fecha,4,negativo
410,inox,7,negativo
411,iguais,34,negativo
412,necessito,8,negativo
413,falar,77,negativo
414,pessoas,11,negativo
415,maquina,29,negativo
416,gravacoes,2,negativo
417,corretos,4,negativo
418,tentei,77,negativo
419,realizar,20,negativo
420,cartao,127,negativo
421,site,513,negativo
422,possibilita,1,negativo
423,realizado,13,negativo
424,devolvi,17,negativo
425,informado,47,negativo
426,postado,18,negativo
427,indicado,6,negativo
428,notificacao,9,negativo
429,quanto,64,negativo
430,analise,2,negativo
431,ter,291,negativo
432,meuressarcimento,1,negativo
433,recebemos,49,negativo
434,abrimos,2,negativo
435,reclamacao,116,negativo
436,tampo,4,negativo
437,mesa,32,negativo
438,amassado,29,negativo
439,batido,2,negativo
440,dentro,146,negativo
441,poderiam,12,negativo
442,agilizar,3,negativo
443,n,123,negativo
444,recebir,14,negativo
445,bom,213,negativo
446,preco,76,negativo
447,medidas,33,negativo
448,corretas,5,negativo
449,indicadas,2,negativo
450,oferta,9,negativo
451,ligar,32,negativo
452,vcs,104,negativo
453,urgente,69,negativo
454,tento,28,negativo
455,resolver,112,negativo
456,ninguem,219,negativo
457,tudo,112,negativo
458,fazem,21,negativo
459,passar,18,negativo
460,reclamar,39,negativo
461,deram,95,negativo
462,grande,55,negativo
463,conseguiram,6,negativo
464,excelente,13,negativo
465,indico,25,negativo
466,qualquer,50,negativo
467,pessoa,38,negativo
468,borracha,14,negativo
469,mitsubishi,1,negativo
470,pvc,5,negativo
471,horrivel,61,negativo
472,titulo,6,negativo
473,ta,42,negativo
474,enganaram,1,negativo
475,sendo,195,negativo
476,despesa,1,negativo
477,previsao,86,negativo
478,super,71,negativo
479,insatisfeito,54,negativo
480,volta,188,negativo
481,denunciar,1,negativo
482,procon,39,negativo
483,cortina,79,negativo
484,rosa,41,negativo
485,bracos,5,negativo
486,brancos,1,negativo
487,entregam,39,negativo
488,toda,72,negativo
489,preciso,203,negativo
490,boneca,18,negativo
491,compraria,24,negativo
492,penso,5,negativo
493,deveria,99,negativo
494,modo,12,negativo
495,comunicar,11,negativo
496,caso,55,negativo
497,acontecesse,1,negativo
498,encomenda,114,negativo
499,conseguimos,4,negativo
500,telefone,74,negativo
501,jogo,82,negativo
502,tabaco,5,negativo
503,vermelho,27,negativo
504,indo,5,negativo
505,estragado,5,negativo
506,mercadoria,275,negativo
507,primeira,114,negativo
508,fatura,26,negativo
509,fucionou,1,negativo
510,necessidade,9,negativo
511,infelizmente,120,negativo
512,totalmente,134,negativo
513,pendentes,34,negativo
514,corretamente,41,negativo
515,vinte,3,negativo
516,informacao,92,negativo
517,posicao,89,negativo
518,fornecedor,80,negativo
519,enviou,36,negativo
520,correto,74,negativo
521,sabor,13,negativo
522,chocolate,9,negativo
523,mim,76,negativo
524,justificativa,16,negativo
525,horario,6,negativo
526,passaram,32,negativo
527,corresponde,30,negativo
528,pelicula,107,negativo
529,tela,42,negativo
530,celular,71,negativo
531,cobre,33,negativo
532,encaminhado,12,negativo
533,cidade,33,negativo
534,destino,13,negativo
535,simplesmente,59,negativo
536,posicionamento,24,negativo
537,decente,1,negativo
538,acontecera,1,negativo
539,braco,9,negativo
540,ducha,8,negativo
541,desviador,4,negativo
542,pode,52,negativo
543,funcionamento,11,negativo
544,leitura,2,negativo
545,vergonha,26,negativo
546,entregaram,279,negativo
547,descaracao,1,negativo
548,duerem,1,negativo
549,cancelei,74,negativo
550,porcaria,24,negativo
551,escolheu,3,negativo
552,paeceiro,1,negativo
553,mostrava,7,negativo
554,calendario,2,negativo
555,dificil,37,negativo
556,estorno,90,negativo
557,cabo,61,negativo
558,adaptador,11,negativo
559,audio,7,negativo
560,mandou,24,negativo
561,massageador,4,negativo
562,completamente,32,negativo
563,cheio,15,negativo
564,avaliacoes,2,negativo
565,negativas,6,negativo
566,erra,1,negativo
567,mandando,5,negativo
568,superior,7,negativo
569,ne,7,negativo
570,curioso,1,negativo
571,errado,279,negativo
572,abri,53,negativo
573,baixa,60,negativo
574,primeiro,33,negativo
575,virou,3,negativo
576,mercado,16,negativo
577,livre,10,negativo
578,pedidos,50,negativo
579,forma,50,negativo
580,normal,10,negativo
581,contudo,15,negativo
582,estimada,1,negativo
583,posterior,1,negativo
584,aumentando,1,negativo
585,atitude,8,negativo
586,semanas,22,negativo
587,cancelacem,1,negativo
588,nf,56,negativo
589,emitida,44,negativo
590,ganhado,1,negativo
591,msm,7,negativo
592,desta,46,negativo
593,apresenta,16,negativo
594,risco,16,negativo
595,confiavel,11,negativo
596,eviei,1,negativo
597,mail,138,negativo
598,efetuei,49,negativo
599,ligacoes,5,negativo
600,errada,81,negativo
601,consegui,68,negativo
602,usar,46,negativo
603,pontualidade,7,negativo
604,cliente,168,negativo
605,mosquiteiro,7,negativo
606,furos,8,negativo
607,pedir,28,negativo
608,king,16,negativo
609,kiung,1,negativo
610,queem,1,negativo
611,pagamento,80,negativo
612,unidades,200,negativo
613,tratativa,1,negativo
614,importado,2,negativo
615,bebedouro,5,negativo
616,metalico,1,negativo
617,obs,11,negativo
618,cachorro,5,negativo
619,macho,3,negativo
620,acontece,26,negativo
621,avariado,23,negativo
622,visto,16,negativo
623,fraca,17,negativo
624,buracos,3,negativo
625,fundo,13,negativo
626,panela,9,negativo
627,devido,48,negativo
628,pressao,8,negativo
629,dog,1,negativo
630,colocado,6,negativo
631,cancelado,61,negativo
632,credito,44,negativo
633,panelas,16,negativo
634,oval,1,negativo
635,espatulas,1,negativo
636,pretos,4,negativo
637,frideira,1,negativo
638,enchimento,5,negativo
639,almofadas,13,negativo
640,demais,65,negativo
641,itens,121,negativo
642,dar,91,negativo
643,atrasa,9,negativo
644,comprado,161,negativo
645,depende,3,negativo
646,possa,10,negativo
647,avaliar,108,negativo
648,entregarao,7,negativo
649,pacote,43,negativo
650,contendo,10,negativo
651,peneus,1,negativo
652,tarde,65,negativo
653,mosqueteiro,2,negativo
654,tamanho,75,negativo
655,queen,10,negativo
656,arrastasse,1,negativo
657,chao,11,negativo
658,circulo,3,negativo
659,pequeno,51,negativo
660,cama,37,negativo
661,casal,21,negativo
662,nor,1,negativo
663,relogios,24,negativo
664,antecipado,4,negativo
665,suporte,49,negativo
666,demorada,23,negativo
667,enteque,1,negativo
668,recebeu,27,negativo
669,envie,12,negativo
670,varias,60,negativo
671,sujando,1,negativo
672,nome,47,negativo
673,especificacao,9,negativo
674,calota,2,negativo
675,vendida,5,negativo
676,simbolo,2,negativo
677,citroen,1,negativo
678,entao,73,negativo
679,conprei,4,negativo
680,achei,133,negativo
681,carteiras,2,negativo
682,creio,12,negativo
683,correra,1,negativo
684,detector,2,negativo
685,metal,6,negativo
686,podemos,10,negativo
687,orientacoes,4,negativo
688,diz,76,negativo
689,wireless,2,negativo
690,multilaser,2,negativo
691,vim,18,negativo
692,modem,1,negativo
693,conecta,4,negativo
694,usb,22,negativo
695,nele,5,negativo
696,pares,4,negativo
697,alianca,1,negativo
698,masculinas,1,negativo
699,envio,65,negativo
700,outras,53,negativo
701,femeninas,1,negativo
702,cheopu,1,negativo
703,acho,74,negativo
704,deveriam,38,negativo
705,mudar,6,negativo
706,deixam,5,negativo
707,unica,16,negativo
708,domingo,2,negativo
709,pro,28,negativo
710,remetente,11,negativo
711,pendente,28,negativo
712,aluminio,9,negativo
713,meia,13,negativo
714,bola,12,negativo
715,medio,4,negativo
716,escovado,2,negativo
717,valor,230,negativo
718,deixando,8,negativo
719,cancela,7,negativo
720,autorizacao,4,negativo
721,enviarem,7,negativo
722,proteinas,1,negativo
723,codigo,57,negativo
724,colcha,34,negativo
725,certinho,14,negativo
726,saia,16,negativo
727,box,13,negativo
728,demorando,37,negativo
729,esgotado,5,negativo
730,perfume,39,negativo
731,ototemo,1,negativo
732,preocupada,7,negativo
733,perfumes,7,negativo
734,lugar,44,negativo
735,encaixar,6,negativo
736,bonitinha,2,negativo
737,fragil,51,negativo
738,p,82,negativo
739,vidro,49,negativo
740,meses,48,negativo
741,ai,37,negativo
742,original,181,negativo
743,vendas,5,negativo
744,extremamente,24,negativo
745,entrei,90,negativo
746,devolveu,1,negativo
747,falam,4,negativo
748,mandar,37,negativo
749,link,4,negativo
750,direto,11,negativo
751,detalhes,12,negativo
752,conta,37,negativo
753,jarra,2,negativo
754,cafeteria,2,negativo
755,mesma,88,negativo
756,cafeteira,3,negativo
757,electrolux,2,negativo
758,sofa,10,negativo
759,to,39,negativo
760,varios,45,negativo
761,faco,78,negativo
762,online,7,negativo
763,compensa,6,negativo
764,pouco,54,negativo
765,fisica,9,negativo
766,todas,25,negativo
767,inclusive,36,negativo
768,parando,2,negativo
769,bateria,30,negativo
770,novicimo,1,negativo
771,queda,2,negativo
772,som,14,negativo
773,ruidos,2,negativo
774,chiados,1,negativo
775,troquei,3,negativo
776,fone,22,negativo
777,ouvido,8,negativo
778,apple,5,negativo
779,mudou,3,negativo
780,paralelos,1,negativo
781,reciclados,1,negativo
782,picareta,1,negativo
783,bonecas,4,negativo
784,baby,2,negativo
785,kiss,1,negativo
786,sid,1,negativo
787,nil,1,negativo
788,junto,48,negativo
789,caixa,208,negativo
790,ocupado,4,negativo
791,desatencao,1,negativo
792,distribuidor,3,negativo
793,mudarei,2,negativo
794,avaliacao,59,negativo
795,der,6,negativo
796,certo,80,negativo
797,replica,35,negativo
798,anuncuado,1,negativo
799,pago,120,negativo
800,falta,265,negativo
801,respeito,117,negativo
802,consumidor,72,negativo
803,vidros,4,negativo
804,lacre,17,negativo
805,vazando,9,negativo
806,tendo,33,negativo
807,reclamado,3,negativo
808,pior,59,negativo
809,levar,13,negativo
810,defletor,1,negativo
811,placa,12,negativo
812,pequenas,10,negativo
813,encaixam,7,negativo
814,sinceramente,9,negativo
815,opcao,16,negativo
816,bonita,13,negativo
817,design,5,negativo
818,fiquei,108,negativo
819,agilidade,7,negativo
820,revebi,2,negativo
821,espero,150,negativo
822,menos,60,negativo
823,pontuacao,1,negativo
824,feita,68,negativo
825,acordo,27,negativo
826,promocao,13,negativo
827,venderam,14,negativo
828,botao,10,negativo
829,abrir,44,negativo
830,carro,27,negativo
831,conjunto,17,negativo
832,quadros,8,negativo
833,decorativos,3,negativo
834,fe,8,negativo
835,amor,4,negativo
836,familia,6,negativo
837,mt,9,negativo
838,midia,1,negativo
839,corrompida,1,negativo
840,perdi,22,negativo
841,inutilizei,1,negativo
842,testar,13,negativo
843,incapacitado,1,negativo
844,trocar,96,negativo
845,roubo,1,negativo
846,embrulho,4,negativo
847,vem,62,negativo
848,querem,16,negativo
849,cobrar,8,negativo
850,cabe,13,negativo
851,perfeitamente,3,negativo
852,informacoes,64,negativo
853,parede,24,negativo
854,rolo,8,negativo
855,m,12,negativo
856,transito,7,negativo
857,rasgado,12,negativo
858,feito,96,negativo
859,colocar,42,negativo
860,lamina,4,negativo
861,navalhete,3,negativo
862,podendo,5,negativo
863,ferir,1,negativo
864,hora,58,negativo
865,retirar,78,negativo
